# Bias(V)	Current(mA)	Photocurrent(mA)
0.000000000000000000e+00	1.539478000000000254e-08	0.000000000000000000e+00
1.000000000000000056e-01	1.178328000000000028e-08	2.599999999975885490e-08
2.000000000000000111e-01	8.365890000000000276e-08	2.499999999985152987e-08
2.999999999999999889e-01	-3.847380999999999662e-08	8.799999999965085751e-08
4.000000000000000222e-01	4.779744999999999897e-08	5.299999999985871568e-08
5.000000000000000000e-01	3.350351999999999930e-08	9.999999999506931081e-09
5.999999999999999778e-01	1.880298999999999981e-08	4.100000000010345369e-08
6.999999999999999556e-01	2.032892000000000056e-08	2.099999999978854892e-08
8.000000000000000444e-01	2.297405000000000050e-08	1.120000000000287432e-07
9.000000000000000222e-01	1.712434000000000086e-08	1.529999999996985161e-07
1.000000000000000000e+00	1.936244000000000288e-08	4.100000000010345369e-08
1.100000000000000089e+00	2.704339999999999783e-08	-1.600000000025192382e-08
1.199999999999999956e+00	2.709416999999999889e-08	9.000000000033286929e-09
1.300000000000000044e+00	3.528394000000000089e-08	1.199999999975526199e-08
1.399999999999999911e+00	6.590629000000000113e-08	-1.700000000059292971e-08
1.500000000000000000e+00	1.468872999999999868e-07	1.299999999966258701e-08
1.600000000000000089e+00	2.628141999999999976e-07	6.699999999986230859e-08
1.699999999999999956e+00	4.299643999999999931e-07	5.999999999443950127e-09
1.800000000000000044e+00	6.759595999999999511e-07	2.300000000003687983e-08
1.899999999999999911e+00	1.502148999999999854e-06	-4.999999999970305975e-09
2.000000000000000000e+00	5.441069999999999898e-06	-2.600000000019253577e-08
2.100000000000000089e+00	2.050460000000000016e-05	6.599999999995498356e-08
2.200000000000000178e+00	1.020452999999999969e-04	1.293999999999774497e-06
2.299999999999999822e+00	1.047319000000000114e-03	5.063999999999979976e-05
2.399999999999999911e+00	2.705354000000000092e-02	2.551862999999999701e-03
2.500000000000000000e+00	8.570093999999999212e-01	1.072658720000000121e-01
2.600000000000000089e+00	1.088714000000000048e+01	1.461407072000000085e+00
2.700000000000000178e+00	3.493369000000000568e+01	4.631231072000000282e+00
2.799999999999999822e+00	6.576695000000000846e+01	8.510943071999999887e+00
2.899999999999999911e+00	9.986372000000000071e+01	1.260252707200000089e+01
3.000000000000000000e+00	1.365927999999999827e+02	1.668529707200000090e+01
3.100000000000000089e+00	1.752667999999999893e+02	2.009140707199999909e+01
3.200000000000000178e+00	2.150016999999999996e+02	2.290265707200000023e+01
3.299999999999999822e+00	2.562975000000000136e+02	2.537094707200000343e+01
3.399999999999999911e+00	2.986627000000000294e+02	2.757095707200000234e+01
3.500000000000000000e+00	3.423288999999999760e+02	2.955616707200000448e+01
3.600000000000000089e+00	3.868653000000000475e+02	3.133754707199999956e+01
3.700000000000000178e+00	4.321976999999999975e+02	3.292273707199999677e+01
3.799999999999999822e+00	4.782971999999999753e+02	3.431388707199999288e+01
3.899999999999999911e+00	5.246077999999999975e+02	3.549108707199999913e+01
4.000000000000000000e+00	5.710382000000000744e+02	3.646618707199999676e+01
4.099999999999999645e+00	6.170063999999999851e+02	3.720406707199999374e+01
4.200000000000000178e+00	6.625940999999999121e+02	3.770893707199999767e+01
4.299999999999999822e+00	7.072638999999999214e+02	3.796117707199999813e+01
4.400000000000000355e+00	7.505528000000000475e+02	3.793837707199999443e+01
4.500000000000000000e+00	7.924864999999999782e+02	3.768157707199999606e+01
4.599999999999999645e+00	8.327347999999999502e+02	3.716567707199999404e+01
4.700000000000000178e+00	8.712343999999999369e+02	3.631682707199999527e+01
4.799999999999999822e+00	9.074790000000000418e+02	3.512154707199999848e+01
4.900000000000000355e+00	9.414198999999999842e+02	3.366067707199999148e+01
5.000000000000000000e+00	9.729607999999999493e+02	3.193116707200000093e+01
